Id,Sales
1,7580.299
2,8137.8843
3,7883.1074
4,7579.005
5,7883.1074
6,7569.132
7,7399.418
8,7399.418
9,7268.025
10,7184.9395
11,7399.418
12,7883.1074
13,7399.418
14,7184.9395
15,7399.418
16,7184.9395
17,7579.005
18,7399.418
19,8008.211
20,8298.645
21,7883.1074
22,8129.347
23,7883.1074
24,7184.9395
25,7894.2744
26,7399.418
27,7399.418
28,7580.299
29,7879.083
30,8026.224
31,7399.418
32,8139.572
33,7194.8125
34,7579.005
35,7184.9395
36,8341.612
37,7580.299
38,7883.1074
39,7579.005
40,7399.418
41,7399.418
42,7883.1074
43,7399.418
44,7399.418
45,7813.718
46,7569.132
47,7399.418
48,8321.709
49,7194.8125
50,9253.069
51,8603.609
52,7399.418
53,7883.1074
54,8126.1714
55,7184.9395
56,7894.2744
57,8088.094
58,7883.1074
59,7883.1074
60,7399.418
61,7569.132
62,7579.005
63,7184.9395
64,8126.1714
65,7569.132
66,7883.1074
67,7184.9395
68,7235.955
69,8162.3965
70,7235.955
71,7921.256
72,8092.893
73,7883.1074
74,8333.422
75,7399.418
76,7653.307
77,7399.418
78,8302.091
79,7399.418
80,7643.434
81,7883.1074
82,7883.1074
83,7883.1074
84,7399.418
85,7654.601
86,7883.1074
87,7399.418
88,7643.434
89,7883.1074
90,7883.1074
91,7235.955
92,7883.1074
93,7654.601
94,7235.955
95,7235.955
96,7399.418
97,7235.955
98,7235.955
99,7654.601
100,7399.418
101,7245.828
102,7399.418
103,7235.955
104,7235.955
105,7399.418
106,7399.418
107,7654.601
108,7643.434
109,7883.1074
110,7852.751
111,7433.1035
112,7883.1074
113,7235.955
114,7883.1074
115,7654.601
116,8104.606
117,7883.1074
118,7235.955
119,7883.1074
120,7399.418
121,7653.307
122,7883.1074
123,7883.1074
124,7399.418
125,7235.955
126,7235.955
127,8565.063
128,7653.307
129,7235.955
130,7235.955
131,7643.434
132,8129.347
133,7245.828
134,7653.307
135,7653.307
136,7894.2744
137,7653.307
138,7245.828
139,7399.418
140,7653.307
141,7883.1074
142,7147.7627
143,7883.1074
144,7235.955
145,7653.307
146,7235.955
147,7235.955
148,7399.418
149,7654.601
150,8321.709
151,10613.389
152,7653.307
153,7399.418
154,7654.601
155,8092.893
156,7883.1074
157,7245.828
158,7562.111
159,7653.307
160,7399.418
161,7235.955
162,7883.1074
163,7399.418
164,7245.828
165,7795.3687
166,8077.2397
167,7643.434
168,7399.418
169,7654.601
170,7654.601
171,7883.1074
172,7399.418
173,7654.601
174,7643.434
175,7399.418
176,8321.709
177,7883.1074
178,7399.418
179,7654.601
180,7653.307
181,7245.828
182,7656.465
183,7894.2744
184,7894.2744
185,7245.828
186,7656.465
187,7235.955
188,7894.2744
189,7653.307
190,8565.063
191,7813.718
192,7883.1074
193,7235.955
194,10200.567
195,8321.709
196,8603.609
197,6994.5493
198,7399.418
199,8565.063
200,6253.0713
201,10491.184
202,10948.891
203,7399.418
204,7245.828
205,7643.434
206,7653.307
207,9586.678
208,8104.606
209,7883.1074
210,7235.955
211,7319.0405
212,7399.418
213,7883.1074
214,7399.418
215,8321.709
216,7883.1074
217,7235.955
218,7235.955
219,7643.434
220,7235.955
221,7235.955
222,7653.307
223,7653.307
224,7643.434
225,8272.184
226,7245.828
227,7643.434
228,7653.307
229,7883.1074
230,8565.063
231,7883.1074
232,7399.418
233,8104.606
234,7643.434
235,7399.418
236,7245.828
237,7235.955
238,7245.828
239,7399.418
240,7894.2744
241,7653.307
242,7235.955
243,7883.1074
244,7653.307
245,7235.955
246,7399.418
247,10837.093
248,7399.418
249,7813.718
250,7245.828
251,7643.434
252,7269.6406
253,7562.111
254,7399.418
255,7883.1074
256,7399.418
257,12925.878
258,8118.9688
259,7399.418
260,7399.418
261,7399.418
262,7883.1074
263,8146.9395
264,8333.422
265,8092.893
266,8139.572
267,8171.076
268,7883.1074
269,7399.418
270,8104.606
271,7245.828
272,7245.828
273,7399.418
274,7235.955
275,7894.2744
276,7883.1074
277,7399.418
278,7643.434
279,7883.1074
280,10200.567
281,7399.418
282,7235.955
283,7883.1074
284,7399.418
285,7883.1074
286,7245.828
287,7399.418
288,7399.418
289,7399.418
290,8606.792
291,7883.1074
292,7653.307
293,7235.955
294,10200.567
295,7653.307
296,7399.418
297,8256.293
298,7643.434
299,7883.1074
300,7235.955
301,7643.434
302,7883.1074
303,7653.307
304,7643.434
305,8606.792
306,7399.418
307,7245.828
308,7653.307
309,7399.418
310,7235.955
311,7399.418
312,7245.828
313,7235.955
314,7399.418
315,8199.047
316,7883.1074
317,7399.418
318,7894.2744
319,7399.418
320,7883.1074
321,7883.1074
322,7399.418
323,7235.955
324,8645.338
325,7399.418
326,7883.1074
327,7399.418
328,7894.2744
329,7895.4937
330,8606.792
331,7235.955
332,8333.422
333,7883.1074
334,7883.1074
335,7654.601
336,7883.1074
337,7245.828
338,7654.601
339,7245.828
340,7643.434
341,7235.955
342,7895.4937
343,7476.211
344,7894.2744
345,7883.1074
346,8606.792
347,7279.5137
348,7235.955
349,7399.418
350,7883.1074
351,7883.1074
352,9609.71
353,7399.418
354,7643.434
355,8132.2837
356,7399.418
357,7653.307
358,7883.1074
359,7883.1074
360,7883.1074
361,7883.1074
362,9628.406
363,7245.828
364,7883.1074
365,8137.728
366,8398.431
367,7235.955
368,7399.418
369,7883.1074
370,7399.418
371,7235.955
372,7399.418
373,7883.1074
374,7235.955
375,7399.418
376,7235.955
377,7399.418
378,7245.828
379,7894.2744
380,7235.955
381,7399.418
382,7399.418
383,7894.2744
384,8358.03
385,7894.2744
386,7476.211
387,7235.955
388,7399.418
389,7399.418
390,7245.828
391,7883.1074
392,7643.434
393,7235.955
394,7399.418
395,7399.418
396,8344.083
397,7883.1074
398,7399.418
399,7399.418
400,7399.418
401,8092.893
402,7399.418
403,7883.1074
404,7883.1074
405,8321.709
406,7883.1074
407,7883.1074
408,7883.1074
409,7894.2744
410,7883.1074
411,7235.955
412,7643.434
413,7399.418
414,7235.955
415,7654.601
416,7235.955
417,7399.418
418,7894.2744
419,7245.828
420,7654.601
421,7399.418
422,7399.418
423,7883.1074
424,7883.1074
425,8911.866
426,7883.1074
427,7245.828
428,7235.955
